Sentence,Aspect Term,polarity,Aspect_Label,Sentiment_Label
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,2,467,0
But if you're willing to pay another 200 dollar for a windows disc.,windows disc,2,468,0
Very good quality and well made.,quality,1,5,1
"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,1,135,1
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,2,244,0
It had the full sized touch pad with 2 buttons instead of just one.,touch pad,2,129,0
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,2,22,0
It was super easy to set up and Is really easy to get used to.,set up,1,246,1
"The only thing that can be updated is the video, other than that you're all set.",video,0,451,2
Its a good laptop for its value.,value,1,60,1
Then the hard drive failed;,hard drive,0,78,2
"Plain and simple, it(laptop) runs great and loads fast.",runs,1,69,1
"Plain and simple, it(laptop) runs great and loads fast.",loads,1,209,1
of course my warranty runs out next month.,warranty,2,41,0
The capabilities using that program alone made me want a Mac.,program,1,55,1
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,2,469,0
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",spinning beachball,0,470,2
"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access,1,471,1
This is a great value for the money.,value,1,60,1
"It was a great laptop, ran great and was really fast.",ran,1,254,1
The battery has never worked well.,battery,0,17,2
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,company,0,472,2
The only problem is a lack of screen resolutions!,screen resolutions,0,473,2
"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",carry,1,474,1
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,0,52,2
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,0,475,2
"It has many great programs, such as ILife, iPhotos and others.",programs,1,235,1
"It has many great programs, such as ILife, iPhotos and others.",ILife,1,476,1
"It has many great programs, such as ILife, iPhotos and others.",iPhotos,1,477,1
"The processor went on me, the fan went and the motherboard went.",processor,0,188,2
"The processor went on me, the fan went and the motherboard went.",fan,0,42,2
"The processor went on me, the fan went and the motherboard went.",motherboard,0,63,2
It is very well built.,built,1,478,1
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,1,144,1
The screen resolution was exactly what I was looking for.,screen resolution,1,479,1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Snow Leopard,1,480,1
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",CPU,0,481,2
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,0,482,2
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Word,0,483,2
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Excel,0,484,2
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",spinning wheel,0,485,2
There is no number pad to the right of the keyboard which is a bummer.,pad,0,273,2
There is no number pad to the right of the keyboard which is a bummer.,keyboard,0,52,2
After 20-30 min the screen of the notebook switched off.,screen,0,14,2
"If upgrade is possible to the full Windows 7, then I will truly be a very happy geek.",Windows 7,1,26,1
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",programs,1,235,1
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iLife,1,179,1
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iWork,1,161,1
10 hours of battery life is really something else....,battery life,1,1,1
Runs fast and the regular layout keyboard is so much better.,regular layout keyboard,1,486,1
Runs fast and the regular layout keyboard is so much better.,Runs,1,487,1
"All the programs are easy and straight forward on my MacBook Pro, it is clean and organized, which I always strive to be myself.",programs,1,235,1
I reinstalled windows through the recovery discs and everything seemed good again.,windows,1,46,1
I reinstalled windows through the recovery discs and everything seemed good again.,recovery discs,1,92,1
"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",Windows 7 Starter,1,303,1
Support has been lackluster and now I just want a refund.,Support,0,488,2
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",3 year warranty,0,489,2
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",online chat service,0,490,2
""">  iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto,1,340,1
I love to write and play with graphics and html programming and my new Toshiba works great on both!,works,1,67,1
My laptop now has no battery.,battery,0,17,2
It made the computer much easier to use and navigate.,use,1,8,1
It made the computer much easier to use and navigate.,navigate,1,70,1
":-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",battery life,0,1,2
"Needs longer lasting battery, More than 1 to 2 Hrs.",battery,0,17,2
in May I started having problems with the USB ports not working.,USB ports,0,253,2
10 plus hours of battery...,battery,1,17,1
"The design is awesome, quality is unprecedented.",design,1,271,1
"The design is awesome, quality is unprecedented.",quality,1,5,1
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.,Mac version of Microsoft Office,1,491,1
"The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.",starting-up time,1,492,1
The Toshiba Net book operates very well.,operates,1,493,1
"the touch pad is fine - again, it's a real touch pad.",touch pad,1,129,1
"the touch pad is fine - again, it's a real touch pad.",touch pad,1,129,1
The pictures are clear as can be.,pictures,1,494,1
"It is also very lightweight, making transporting this computer very easy.",transporting,1,495,1
It's wonderful for computer gaming.,gaming,1,23,1
You have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,0,496,2
You have to toss out the wifi card and replace it just to have any sort of network capability.,wifi card,0,497,2
"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer,1,498,1
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use,1,8,1
"The flaws are, this computer is not for computer gamers because of the OS X.",OS X,0,499,2
They really do have the worlds very worst repair service.,repair service,0,500,2
They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.,customer service agents,0,501,2
  I was also able to install and use my Photoshop and AfterEffects programs easily.,Photoshop,1,387,1
  I was also able to install and use my Photoshop and AfterEffects programs easily.,AfterEffects programs,1,502,1
It's perfect for everything and runs faster than an average pc!,runs,1,69,1
 Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,warrenty,0,56,2
I'm already hooked on the sleek look and dependability that this laptop has shown.,look,1,189,1
I'm already hooked on the sleek look and dependability that this laptop has shown.,dependability,1,503,1
And having to deal with the company has been a even worse nightmare.,company,0,472,2
  I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!,warranty,2,41,0
It has all the features that are necessary for college and if not they are able to be added onto the computer.,features,1,10,1
"I've owned this labtop for less then two months, already the mouse button has broke.",mouse button,0,504,2
"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,0,144,2
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",touchpad,1,135,1
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",buttons,2,505,0
tons of bloatware and junk programs.,programs,0,235,2
lots of extra space but the keyboard is ridiculously small.,space,1,335,1
lots of extra space but the keyboard is ridiculously small.,keyboard,0,52,2
It's so bad that I'm thinking I only got half a battery or something.,battery,0,17,2
"Good keyboard, long battery life, largest hard drive and windows 7.",keyboard,1,52,1
"Good keyboard, long battery life, largest hard drive and windows 7.",battery life,1,1,1
"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,1,78,1
"Good keyboard, long battery life, largest hard drive and windows 7.",windows 7,1,261,1
The processor is very quick and effective as I load webpages and applications.,processor,1,188,1
The processor is very quick and effective as I load webpages and applications.,applications,2,7,0
The processor is very quick and effective as I load webpages and applications.,load,1,506,1
The processor is very quick and effective as I load webpages and applications.,webpages,2,507,0
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery,0,17,2
"It pretty much does everything we could ever need, and looks great to boot.",boot,1,296,1
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",Windows,0,310,2
"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.",runs,1,69,1
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",OpenOffice,2,508,0
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",Firefox,2,432,0
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",price,1,37,1
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,0,5,2
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,0,144,2
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,1,1,1
"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.",use,1,8,1
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,PRODUCT KEY,0,509,2
Pay attention to the specs if you want these options.,specs,2,510,0
It also does not have bluetooth.,bluetooth,0,100,2
Sure it has the one touch keys but that was the best feature of the computer.,one touch keys,1,511,1
great battery life.,battery life,1,1,1
The real stand out on this computer is the feel of the keyboard and it's speed.,keyboard,1,52,1
The real stand out on this computer is the feel of the keyboard and it's speed.,speed,1,25,1
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.",specs,1,510,1
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.",price,1,37,1
Delivery was early too.,Delivery,1,512,1
Love the stability of the Mac software and operating system.,stability,1,513,1
Love the stability of the Mac software and operating system.,Mac software,1,83,1
Love the stability of the Mac software and operating system.,operating system,1,35,1
And that probably explains why I've already had my SATA controller go bad within a year of buying it.,SATA controller,0,514,2
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,video editing,1,515,1
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,performance,0,144,2
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,mobile video editing,2,516,0
My main reason to convert was the imovie program.,imovie program,1,517,1
It has a faster processor and more ram.,processor,1,188,1
It has a faster processor and more ram.,ram,1,457,1
"Laptops are usually used on the go, so why not give you a better battery?",battery,0,17,2
I wasn't a big fan of the Netbooks but this one was very well designed.,designed,1,121,1
And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles.,warranty,1,41,1
I still have that stupid bluetooth mouse to!,bluetooth mouse,0,518,2
"Would like more trendy, high tech features.",features,0,10,2
Keyboard is great but primary and secondary control buttons could be more durable.,Keyboard,1,109,1
Keyboard is great but primary and secondary control buttons could be more durable.,control buttons,0,519,2
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,0,63,2
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,0,63,2
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,Processor,2,520,0
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,performance,2,144,0
"They say it could be the motherboard again, but Dell",motherboard,0,63,2
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,patches,0,521,2
"Love the speed, especially!",speed,1,25,1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,system memory,0,522,2
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,radeon 5850,0,523,2
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,DDR5,1,524,1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,DDR3,0,525,2
"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs,1,235,1
"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs,1,235,1
"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed,1,25,1
Awesome laptop and the perfect size to carry around in college.,size,1,239,1
" A MONTH LATER, we reinstall the OS (Vista).",OS (Vista),0,526,2
"Some problems can be fixed if you purchase new software, but there is no guarentee.",software,0,28,2
My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,battery life,0,1,2
The battery life is also relatively good.,battery life,1,1,1
"  I definitely suggest getting an extended warranty, you will probably need it!",extended warranty,1,72,1
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",features,1,10,1
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",programs,1,235,1
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",use,1,8,1
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",pop up windows,1,527,1
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",web programming software,1,528,1
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.",pop ups,2,529,0
Memory is upgradable.,Memory,1,530,1
"Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.",3G network,0,531,2
"Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.",Web access,0,532,2
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,screen,1,14,1
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,design based programs,2,533,0
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,Adobe Creative Suite,2,534,0
Moral of the story:-Do not buy anything from companies that do not respect their customers.,companies,0,535,2
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,customer service,0,536,2
As well as having the plug in the computer come loose.,plug,0,537,2
Second HDD cover has walls inside that need to be broken if you what to install one.,HDD cover,2,538,0
If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.,applications,2,7,0
Great product by Apple with the new great looking design.,design,1,271,1
I love the keyboard.,keyboard,1,52,1
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",iphoto,1,539,1
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",program,1,55,1
I will have to purchase Spy ware or Nortell for privacy protection.,Spy ware,2,540,0
I will have to purchase Spy ware or Nortell for privacy protection.,Nortell,2,541,0
I was said it's videocard.,videocard,0,542,2
For the price and what I get out of it has exceeded my expectations.,price,1,37,1
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",drivers,0,47,2
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,0,376,2
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,keyboard,2,52,0
"  Now, as easy as it is to use, and I do think it is a great STARTER laptop.",use,1,8,1
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",Setting,0,543,2
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",screen size,0,208,2
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",pixel sizes,0,544,2
It had some kind of pre installed software update that completely shut the computer down when you clicked it.,pre installed software update,0,545,2
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",customer services,0,546,2
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",toshiba customer services,0,547,2
"Also, the space bar makes a noisy click every time you use it.",space bar,0,548,2
iPhotos is an excellent program for storing and organizing photos.,iPhotos,1,477,1
iPhotos is an excellent program for storing and organizing photos.,program,1,55,1
Other than that its a great performing machine and well meets all my needs and more.,performing,1,549,1
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,0,28,2
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,0,28,2
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",booting,0,550,2
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs,1,235,1
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",iphoto,1,539,1
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imail,1,551,1
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imovie,1,552,1
"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software,2,28,0
Comfterbale to use light easy to transport.,use,1,8,1
Comfterbale to use light easy to transport.,transport,1,553,1
The Computer itself is a good product but the repair depot stinks.,repair depot,0,554,2
I thought the price was great for the specs.,price,1,37,1
I thought the price was great for the specs.,specs,1,510,1
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive,0,270,2
"So, the hard disk capacity really doesn't matter to me.",hard disk capacity,2,555,0
Keys stick periodically and I havent had the laptop for 45 days yet.,Keys,0,556,2
I also like that you can scroll down in a window using two fingers on the trackpad.,trackpad,1,210,1
Everything from the design to the OS is simple and to the point.,design,1,271,1
Everything from the design to the OS is simple and to the point.,OS,1,229,1
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,shipping,0,82,2
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming look,1,557,1
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming performance,1,558,1
This just keeps having it's hard drive replaced!,hard drive,0,78,2
"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",cost,0,302,2
The only downfall is the volume control.,volume control,0,559,2
Very fast boot up and shut down.,boot up,1,33,1
Very fast boot up and shut down.,shut down,1,301,1
I finally decided on this laptop because it was the right price for what I need it.,price,1,37,1
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",internet connectivity,2,560,0
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",USB wireless card,2,561,0
I had read online that some users were having sound problems.,sound,0,81,2
"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",cost,1,302,1
It discharges too quickly.,discharges,0,562,2
"But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time.",compatibility,0,563,2
Then it ceased charging at all.,charging,0,564,2
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",stand,2,565,0
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",design,0,271,2
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",heat sink,0,566,2
"*=Webcam is a bit laggy, not the greatest.",Webcam,0,567,2
"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",trend micro,2,568,0
"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",antiviral program,2,569,0
"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.",warrenty,0,56,2
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,plastic piece,0,570,2
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,usb port wires,2,571,0
Wonderful sleek case design is only on the outside.,case design,1,572,1
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,connection,2,573,0
The pricing is very competitive.,pricing,1,574,1
Connecting to my wireless router via built-in wireless took no time at all.,built-in wireless,1,575,1
This computer is exceptionally thin for it's screen size and processing power.,screen size,1,208,1
This computer is exceptionally thin for it's screen size and processing power.,processing power,1,576,1
I have not had a problem with the applications quitting or freezing.,applications,1,7,1
"Maybe this is virus related, maybe not, but the computer has locked up many times, and on two occasions, the screen has simply gone black.",screen,0,14,2
This wiped out several programs that were installed on the computer when it was bought.,programs,0,235,2
"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",graphics,1,197,1
"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",graphics,2,197,0
"I have Vista, so I am unable to install and uninstall  some programs.",Vista,0,108,2
"I have Vista, so I am unable to install and uninstall  some programs.",programs,0,235,2
"I have Vista, so I am unable to install and uninstall  some programs.",install,0,577,2
"I have Vista, so I am unable to install and uninstall  some programs.",uninstall ,0,578,2
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",screen,1,14,1
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",keyboard,1,52,1
the mouse jumps around all the time and it clicks stuff i dont want it too.,mouse,0,134,2
For those that care about noise this thing doesn't really make any;,noise,1,579,1
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",IWORKS,1,580,1
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",Itunes,1,581,1
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",MS Office,1,582,1
The macbooks are small enough to be very portable yet hold tons of information and performance.,performance,1,144,1
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,iWork,0,161,2
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,software,0,28,2
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,price,0,37,2
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",BIOS,0,333,2
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",Windows,0,310,2
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,application,2,583,0
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,OS X,2,499,0
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,Boot Camp,2,584,0
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,Windows,2,310,0
The mousepad is a huge pain in the arse!,mousepad,0,123,2
"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.",Windows 7,2,26,0
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",Applecare,2,585,0
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",extended warranty,2,72,0
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",windows,2,46,0
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",programs,2,235,0
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",cad programs,2,586,0
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",bootcamp,2,587,0
"Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.",memory,2,73,0
  since then i have had minor problems with slow operation.,operation,0,255,2
Registration/1st use is easy.,use,1,8,1
Take your time and go through the tutorials patiently.,tutorials,2,588,0
  This time the mouse pad and right click key wouldn't work!,mouse pad,0,589,2
  This time the mouse pad and right click key wouldn't work!,right click key,0,590,2
The first full charge of this battery got me only about 2 full hours.,battery,0,17,2
The first full charge of this battery got me only about 2 full hours.,full charge,0,591,2
"I bought a cordless mouse for it, but don't always take it out;",cordless mouse,1,592,1
"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",runs,1,69,1
It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,Toshiba tech support,0,593,2
It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,techs,0,231,2
They only stay charged a little over an hour.,charged,0,594,2
  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,tech support,0,332,2
  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,online chat,2,595,0
Keyboard could use some trimming.,Keyboard,0,109,2
Its white color is stylish for college students and easy to take to carry and take to classes.,color,1,119,1
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",keyboard,0,52,2
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",speaker grill,0,596,2
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",buttons,0,505,2
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",USB ports,0,253,2
I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.,warranty,1,41,1
The letter A stopped working after the first week.,letter A,0,597,2
This is what I call a good after sales service.,after sales service,1,598,1
I took off a star because the machine has a lot of junk software on it.,software,0,28,2
"With what I do know how to do, the computer works beautiful.",works,1,67,1
Tried to make a recovey disk wouldnt get passed the first recovery disk.,recovey disk,0,599,2
Tried to make a recovey disk wouldnt get passed the first recovery disk.,recovery disk,0,399,2
"Most everything is fine with this machine: speed, capacity, build.",speed,1,25,1
"Most everything is fine with this machine: speed, capacity, build.",capacity,1,600,1
"Most everything is fine with this machine: speed, capacity, build.",build,1,601,1
"For the same price, you get a lot more in the Asus....1920x1080 res.",price,0,37,2
"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined.",iTunes,2,167,0
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",portability,1,602,1
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",battery life,1,1,1
It is in the best condition and has a really high quality.,quality,1,5,1
When it come time for warranty service to Toshiba you don't matter.,warranty service to Toshiba,2,603,0
  However the frozen screens kept happening.,screens,0,604,2
"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.",space,0,335,2
